ticker,byma,nombre,mercado,ratio,tipo,rankea
AAL,AAL,American Airlines,NASDAQ,2:1,accion,1
AAP,AAP,Advance Auto Parts,NYSE,14:1,accion,1
AAPL,AAPL,Apple,NASDAQ,20:1,accion,1
ABBV,ABBV,AbbVie,NYSE,10:1,accion,1
ABEV,ABEV,Ambev,NASDAQ,1:3,accion,1
ABNB,ABNB,Airbnb,NASDAQ,15:1,accion,1
ABT,ABT,Abbott,NYSE,4:1,accion,1
ACN,ACN,Accenture,NYSE,75:1,accion,1
ACWI,ACWI,iShares MSCI ACWI,NASDAQ,26:1,etf,1
ADBE,ADBE,Adobe,NASDAQ,44:1,accion,1
AGRO,ADGO,Adecoagro,NYSE,1:1,accion,1
ADI,ADI,Analog Devices,NASDAQ,15:1,accion,1
ADP,ADP,ADP,NASDAQ,6:1,accion,1
AEG,AEG,Aegon,NYSE,1:1,accion,1
AEM,AEM,Agnico Eagle,NYSE,6:1,accion,1
AI,AI,C3.ai,NYSE,5:1,accion,1
AIG,AIG,AIG,NYSE,5:1,accion,1
AKO-B,AKO.B,Embotelladora Andina,NYSE,1:1,accion,1
ALAB,ALAB,Astera Labs,NASDAQ,44:1,accion,1
AMAT,AMAT,Applied Materials,NASDAQ,5:1,accion,1
AMD,AMD,AMD,NASDAQ,10:1,accion,1
AMGN,AMGN,Amgen,NASDAQ,30:1,accion,1
AMX,AMX,America Movil,NYSE,1:1,accion,1
AMZN,AMZN,Amazon,NYSE,144:1,accion,1
ANET,ANET,Arista Networks,NYSE,29:1,accion,1
ANF,ANF,Abercrombie,NYSE,1:1,accion,1
ARCO,ARCO,Arcos Dorados,NYSE,1:2,accion,1
ARKK,ARKK,ARK Innovation,NYSE Arca,10:1,etf,1
ARM,ARM,ARM Holdings,NASDAQ,27:1,accion,1
ASML,ASML,ASML,NASDAQ,146:1,accion,1
ASR,ASR,Grupo Aeroportuario Sureste,NYSE,20:1,accion,1
ASTS,ASTS,AST SpaceMobile,NASDAQ,15:1,accion,1
AVGO,AVGO,Broadcom,NASDAQ,39:1,accion,1
AVY,AVY,Avery Dennison,NYSE,18:1,accion,1
AXP,AXP,American Express,NYSE,15:1,accion,1
AZN,AZN,AstraZeneca,NYSE,4:1,accion,1
B,B,Barrick,NYSE,2:1,accion,1
BA,BA,Boeing,NYSE,24:1,accion,1
BAC,BA.C,Bank of America,NYSE,4:1,accion,1
BABA,BABA,Alibaba,NYSE,9:1,accion,1
BAK,BAK,Braskem,NYSE,2:1,accion,1
BB,BB,Blackberry,NASDAQ,3:1,accion,1
BBD,BBD,Banco Bradesco,NYSE,1:1,accion,1
BBVA,BBV,BBVA,NYSE,1:1,accion,1
BCS,BCS,Barclays,NYSE,1:1,accion,1
BHP,BHP,BHP,NYSE,2:1,accion,1
BIDU,BIDU,Baidu,NASDAQ,11:1,accion,1
BIIB,BIIB,Biogen,NASDAQ,13:1,accion,1
BIOX,BIOX,Bioceres,NYSE American,1:1,accion,1
BNY,BK,BNY (ex Bank of New York Mellon),NYSE,2:1,accion,1
BKNG,BKNG,Booking,NASDAQ,700:1,accion,1
BKR,BKR,Baker Hughes,NASDAQ,7:1,accion,1
BMNR,BMNR,Bitmine,NYSE,8:1,accion,1
BMY,BMY,Bristol-Myers,NYSE,3:1,accion,1
BG,BNG,Bunge,NYSE,5:1,accion,1
BP,BP,BP,NYSE,5:1,accion,1
BRFS,BRFS,BRF,NYSE,1:3,accion,1
BRK-B,BRKB,Berkshire Hathaway,NYSE,22:1,accion,1
BSBR,BSBR,Santander Brasil,NYSE,1:1,accion,1
BX,BX,Blackstone,NYSE,30:1,accion,1
C,C,Citigroup,NYSE,3:1,accion,1
CAAP,CAAP,Corporacion America Airports,NYSE,1:4,accion,1
CAH,CAH,Cardinal Health,NYSE,3:1,accion,1
CAJ,CAJ,Canon,NYSE,2:1,accion,1
CAR,CAR,Avis Budget,NASDAQ,26:1,accion,1
CAT,CAT,Caterpillar,NYSE,20:1,accion,1
CBD,CBRD,Companhia Brasileira Dis,NYSE,1:1,accion,1
CCJ,CCJ,Cameco,NYSE,23:1,accion,1
CCL,CCL,Carnival,NYSE,3:1,accion,1
CDE,CDE,Coeur Mining,NYSE,1:1,accion,1
CEG,CEG,Constellation Energy,NASDAQ,45:1,accion,1
CIBR,CIBR,First Trust Cybersecurity,NASDAQ,10:1,etf,1
CL,CL,Colgate Palmolive,NYSE,3:1,accion,1
CLS,CLS,Celestica,NYSE,20:1,accion,1
COIN,COIN,Coinbase,NASDAQ,27:1,accion,1
COP,COP,ConocoPhillips,NYSE,25:1,accion,1
COPX,COPX,Global X Copper Miners,NYSE,14:1,etf,1
COST,COST,Costco,NASDAQ,48:1,accion,1
CRM,CRM,Salesforce,NYSE,18:1,accion,1
CRWD,CRWD,CrowdStrike,NASDAQ,79:1,accion,1
CRWV,CRWV,CoreWeave,NASDAQ,27:1,accion,1
CSCO,CSCO,Cisco,NASDAQ,5:1,accion,1
CVS,CVS,CVS Health,NYSE,15:1,accion,1
CVX,CVX,Chevron,NYSE,16:1,accion,1
CX,CX,Cemex,NYSE,1:1,accion,1
DAL,DAL,Delta Air Lines,NYSE,8:1,accion,1
DD,DD,DuPont,NYSE,5:1,accion,1
DE,DE,Deere,NYSE,40:1,accion,1
DECK,DECK,Deckers,NYSE,25:1,accion,1
DEO,DEO,Diageo,NYSE,6:1,accion,1
DHR,DHR,Danaher,NYSE,54:1,accion,1
DIA,DIA,SPDR Dow Jones,NYSE Arca,20:1,etf,1
DIS,DISN,Disney,NYSE,12:1,accion,1
DOCU,DOCU,DocuSign,NASDAQ,22:1,accion,1
DOW,DOW,Dow,NYSE,6:1,accion,1
E,E,Eni,NYSE,4:1,accion,1
EA,EA,Electronic Arts,NASDAQ,14:1,accion,1
EBAY,EBAY,eBay,NASDAQ,2:1,accion,1
EBR,EBR,Eletrobras,NYSE,1:4,accion,1
ECL,ECL,Ecolab,NYSE,56:1,accion,1
EEM,EEM,iShares MSCI Emerging,NYSE Arca,5:1,etf,1
EFA,EFA,iShares MSCI EAFE,NYSE,18:1,etf,1
EFX,EFX,Equifax,NYSE,16:1,accion,1
ELP,ELP,Copel,NYSE,1:3,accion,1
EQNR,EQNR,Equinor,NYSE,6:1,accion,1
ERIC,ERIC,Ericsson,NASDAQ,2:1,accion,1
ERJ,ERJ,Embraer,NYSE,1:1,accion,1
ESGU,ESGU,iShares ESG MSCI USA,NASDAQ,30:1,etf,1
ETHA,ETHA,iShares Ethereum,NASDAQ,5:1,etf,1
ETSY,ETSY,Etsy,NASDAQ,16:1,accion,1
EWJ,EWJ,iShares MSCI Japan,NYSE Arca,14:1,etf,1
